country;year;hourly_compensation;working_hours
Hungary;1994;2.70;39.07692
Ireland;1994;12.90;36.21154
Italy;1994;16.09;35.70308
Luxembourg;1994;19.88;32.86538
Netherlands;1994;20.84;27.13462
Norway;1994;21.40;28.94039
Portugal;1994;4.40;35.34615
Spain;1994;11.39;33.33077
Sweden;1994;18.58;30.92250
Switzerland;1994;24.62;33.17211
United Kingdom;1994;12.83;33.46346
Austria;1995;25.26;31.66154
Belgium;1995;25.68;32.19231
Czech Rep.;1995;2.53;39.69808
Finland;1995;22.60;34.15385
France;1995;19.24;31.75000
Germany;1995;30.10;29.49231
Hungary;1995;2.69;39.20385
Ireland;1995;14.14;36.05769
Italy;1995;16.53;35.74731
Luxembourg;1995;23.45;33.05769
Netherlands;1995;24.03;26.75000
Norway;1995;24.84;28.61154
Portugal;1995;5.14;36.48077
Spain;1995;12.70;33.32500
Sweden;1995;21.62;30.94539
Switzerland;1995;28.89;32.73846
United Kingdom;1995;13.71;33.51154
Austria;1996;24.75;31.99808
Belgium;1996;25.25;31.65385
Czech Rep.;1996;2.94;39.72692
Finland;1996;22.21;34.12692
France;1996;18.97;31.82692
Germany;1996;29.58;29.18846
Hungary;1996;2.71;39.12462
Ireland;1996;14.49;36.19231
Italy;1996;18.07;36.02019
Luxembourg;1996;22.45;32.51923
Netherlands;1996;23.10;27.32692
Norway;1996;25.46;28.51154
Portugal;1996;5.33;35.53846
Spain;1996;13.33;33.24038
Sweden;1996;24.29;31.02865
Switzerland;1996;27.94;32.20000
United Kingdom;1996;14.12;33.49231
Austria;1997;21.85;32.07308
Belgium;1997;22.28;31.92308
Czech Rep.;1997;2.79;39.74615
Finland;1997;20.01;34.04808
France;1997;17.07;31.71154
Germany;1997;25.96;29.01346
Hungary;1997;2.68;39.60577
Ireland;1997;14.25;35.23077
Italy;1997;16.95;35.83000
Luxembourg;1997;19.66;32.26923
Netherlands;1997;20.73;27.19231
Norway;1997;24.12;28.41346
Portugal;1997;5.13;34.84615
Spain;1997;12.08;33.23846
Sweden;1997;22.37;32.21365
Switzerland;1997;23.85;31.95385
United Kingdom;1997;15.69;33.47096
Austria;1998;22.02;31.99038
Belgium;1998;22.62;32.15385
Czech Rep.;1998;2.99;39.89616
Finland;1998;19.40;33.86154
France;1998;17.28;31.48077
Germany;1998;25.17;28.90962
Hungary;1998;2.72;39.46731
Ireland;1998;14.18;33.71154
Italy;1998;16.73;36.14769
Luxembourg;1998;19.59;32.15385
Netherlands;1998;21.29;26.92308
Norway;1998;24.43;28.37692
Portugal;1998;5.20;34.59615
Spain;1998;11.95;33.30000
Sweden;1998;22.40;31.65404
Switzerland;1998;24.04;32.09231
United Kingdom;1998;16.98;33.35385
Austria;1999;21.63;31.49231
Belgium;1999;22.14;30.40385
Czech Rep.;1999;3.12;40.14616
Finland;1999;19.66;33.93654
France;1999;16.98;31.34615
Germany;1999;24.57;28.68654
Hungary;1999;2.76;39.75192
Ireland;1999;14.33;33.17308
Italy;1999;16.32;36.06885
Luxembourg;1999;19.50;32.09615
Netherlands;1999;21.36;26.55769
Norway;1999;24.73;28.33462
Portugal;1999;5.06;34.84615
Spain;1999;11.92;33.30961
Sweden;1999;22.07;31.01827
Switzerland;1999;23.23;32.50654
United Kingdom;1999;17.34;33.13077
Austria;2000;19.12;31.37885
Belgium;2000;20.13;29.88462
Czech Rep.;2000;3.01;40.23654
Finland;2000;17.84;33.64808
France;2000;15.43;30.59615
Germany;2000;22.67;28.32692
Hungary;2000;2.74;39.63846
